player_id, year, pitcher_hand, plate_appearences, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_by_pitch
493472.0, 2015, R, 163, 29, 6, 0, 2, 19, 30, 1, 3
592192.0, 2015, L, 162, 33, 2, 1, 3, 10, 30, 0, 2
592192.0, 2015, R, 323, 79, 20, 2, 13, 23, 66, 0, 6
429664.0, 2014, L, 253, 67, 16, 0, 2, 22, 26, 5, 1
429664.0, 2014, R, 412, 120, 21, 2, 12, 39, 42, 15, 5
429664.0, 2015, L, 240, 61, 4, 0, 9, 12, 43, 1, 1
429664.0, 2015, R, 434, 118, 30, 1, 12, 31, 64, 4, 2
572761.0, 2014, L, 217, 48, 10, 1, 2, 27, 42, 0, 3
572761.0, 2014, R, 492, 114, 23, 1, 6, 68, 69, 2, 5
572761.0, 2015, L, 211, 42, 11, 1, 8, 23, 54, 1, 3
572761.0, 2015, R, 454, 114, 33, 2, 20, 58, 97, 4, 3
455077.0, 2014, L, 26, 3, 0, 0, 0, 1, 5, 0, 2
455077.0, 2014, R, 123, 19, 5, 1, 0, 15, 26, 0, 3
485567.0, 2014, L, 16, 5, 1, 0, 0, 1, 2, 0, 1
485567.0, 2014, R, 57, 13, 3, 1, 0, 2, 12, 1, 0
485567.0, 2015, L, 30, 9, 1, 0, 1, 1, 10, 0, 0
485567.0, 2015, R, 162, 38, 7, 0, 2, 10, 35, 0, 2
474892.0, 2014, L, 160, 33, 7, 0, 10, 22, 52, 4, 1
474892.0, 2014, R, 412, 82, 14, 1, 27, 34, 130, 2, 4
474892.0, 2015, L, 190, 32, 7, 0, 9, 26, 55, 1, 3
474892.0, 2015, R, 270, 46, 10, 0, 15, 31, 96, 0, 3
592200.0, 2014, L, 21, 2, 1, 0, 0, 4, 5, 0, 1
592200.0, 2014, R, 63, 10, 2, 0, 0, 4, 18, 0, 1
592200.0, 2015, L, 32, 7, 0, 0, 3, 1, 8, 0, 2
592200.0, 2015, R, 81, 17, 6, 0, 7, 7, 26, 0, 0
458210.0, 2014, L, 3, 0, 0, 0, 0, 0, 0, 0, 0
458210.0, 2014, R, 1, 0, 0, 0, 0, 0, 1, 0, 0
592206.0, 2014, L, 160, 33, 8, 1, 3, 17, 37, 2, 1
592206.0, 2014, R, 419, 105, 23, 3, 8, 19, 103, 1, 2
592206.0, 2015, L, 125, 40, 6, 2, 5, 10, 30, 0, 0
592206.0, 2015, R, 470, 100, 27, 4, 10, 29, 122, 1, 1
628329.0, 2014, L, 8, 2, 0, 0, 0, 0, 1, 0, 0
